alert_sk,sensor_id,sensor_name,equipment_name,process_area,kpi_date,avg_reading,stddev_reading,min_reading,max_reading,total_readings,stability_level,signal_quality,coefficient_of_variation,has_outlier,expected_lower,expected_upper,range_violated,prev_stddev,volatility_trend,spike_status,alert_severity
e30b95800bebe31dd14f7d3f028850b4,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-02,139.74,3.53,134.04,146.61,12565,STABLE,CLEAN,0.0253,False,136.21,143.27,True,,NO_HISTORY,NO_HISTORY,OK
2ac4ccf6cf9da35ce7c0854e207a1c5c,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-03,140.78,3.43,135.27,146.7,8068,STABLE,CLEAN,0.0244,False,137.35,144.21,True,3.53,STEADY,NORMAL,OK
cd5b46b4ee18a3669997f35ced45b749,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-04,139.64,4.03,132.36,146.86,15769,STABLE,CLEAN,0.0289,False,135.61,143.67,True,3.43,INCREASING,NORMAL,OK
0a92d000929afa1f51cf11239160703e,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-05,140.1,3.09,134.57,145.31,10060,STABLE,CLEAN,0.0221,False,137.01,143.19,True,4.03,IMPROVING,NORMAL,OK
30cff836d360bac4b6c51eb0776a0c52,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-06,140.82,3.15,135.19,146.33,12273,STABLE,CLEAN,0.0224,False,137.67,143.97,True,3.09,STEADY,NORMAL,OK
e7f238870dfdc06d31f4103222e983dd,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-07,140.59,3.36,134.11,146.05,15455,STABLE,CLEAN,0.0239,False,137.23,143.95,True,3.15,STEADY,NORMAL,OK
1eaf01f73a4d856e3c8304b69f548a74,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-08,140.84,3.38,135.35,147.1,14009,STABLE,CLEAN,0.024,False,137.46,144.22,True,3.36,STEADY,NORMAL,OK
221b98cb5a118256c1067dc05e6a83db,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-09,139.95,3.4,133.81,146.26,14122,STABLE,CLEAN,0.0243,False,136.55,143.35,True,3.38,STEADY,NORMAL,OK
83fdccff24fe3d5b0a08031a491002f6,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-10,139.16,3.73,132.19,145.7,9523,STABLE,CLEAN,0.0268,False,135.43,142.89,True,3.4,STEADY,NORMAL,OK
461f164802d081c1ca4a0933b61f5d5b,S-FLW-102,P-102B Flow,P-102B Water Injection Pump,Water Injection,2025-09-11,139.13,3.61,132.63,149.11,15655,STABLE,CLEAN,0.0259,True,135.52,142.74,True,3.73,STEADY,NORMAL,WARNING
