equipment_id,equipment_name,equipment_type,location,install_date,manufacturer,status,_loaded_at
EQ-001,Compressor-01,COMPRESSOR,PLANT_A_BAY_1,2015-03-15,Atlas Copco,ACTIVE,2024-01-01 00:00:00
EQ-002,Pump-03,PUMP,PLANT_A_STATION_2,2018-07-22,Grundfos,ACTIVE,2024-01-01 00:00:00
EQ-003,Motor-07,MOTOR,PLANT_B_HALL_1,2012-11-10,Siemens,ACTIVE,2024-01-01 00:00:00
EQ-004,Reactor-02,REACTOR,PLANT_B_ZONE_3,2020-01-05,BASF,ACTIVE,2024-01-01 00:00:00
EQ-005,Pipeline-12,PIPELINE,PLANT_A_PIPE_RACK,2016-09-18,Tenaris,ACTIVE,2024-01-01 00:00:00
EQ-006,Turbine-04,TURBINE,PLANT_C_GEN_ROOM,2010-04-30,GE,ACTIVE,2024-01-01 00:00:00
EQ-007,Conveyor-09,CONVEYOR,PLANT_A_WAREHOUSE,2019-06-14,Bosch Rexroth,ACTIVE,2024-01-01 00:00:00
EQ-008,HeatExchanger-03,HEAT_EXCHANGER,PLANT_B_COOLING,2017-02-28,Alfa Laval,ACTIVE,2024-01-01 00:00:00
EQ-009,Valve-Assembly-15,VALVE,PLANT_C_MANIFOLD,2008-12-01,Emerson,DECOMMISSIONED,2024-01-01 00:00:00
EQ-010,Generator-02,GENERATOR,PLANT_C_POWER,2021-08-20,Caterpillar,ACTIVE,2024-01-01 00:00:00
