order_id,order_type,equipment_id,material_id,order_date,order_quantity,net_value,status,priority,created_by,_loaded_at
ORD-2024-0001,PM01,EQ-001,MAT-001,2024-01-10,5,2500.00,RELEASED,HIGH,JSMITH,2024-01-10 06:00:00
ORD-2024-0002,PM02,EQ-002,MAT-003,2024-01-10,2,800.00,RELEASED,MEDIUM,KBROWN,2024-01-10 06:00:00
ORD-2024-0003,PM01,EQ-003,MAT-002,2024-01-11,10,15000.00,RELEASED,HIGH,JSMITH,2024-01-11 06:00:00
ORD-2024-0004,PM03,EQ-001,MAT-004,2024-01-11,1,350.00,COMPLETED,LOW,MCHEN,2024-01-11 06:00:00
ORD-2024-0005,PM01,EQ-004,MAT-001,2024-01-12,3,1500.00,RELEASED,HIGH,JSMITH,2024-01-12 06:00:00
ORD-2024-0006,PM02,EQ-005,MAT-005,2024-01-12,8,4200.00,RELEASED,MEDIUM,KBROWN,2024-01-12 06:00:00
ORD-2024-0007,PM01,EQ-002,MAT-002,2024-01-13,1,500.00,CANCELLED,LOW,MCHEN,2024-01-13 06:00:00
ORD-2024-0008,PM03,EQ-003,MAT-003,2024-01-13,15,7500.00,RELEASED,HIGH,JSMITH,2024-01-13 06:00:00
ORD-2024-0009,PM01,,MAT-001,2024-01-14,2,1000.00,RELEASED,MEDIUM,KBROWN,2024-01-14 06:00:00
ORD-2024-0010,PM02,EQ-006,MAT-004,2024-01-14,4,1800.00,RELEASED,HIGH,JSMITH,2024-01-14 06:00:00
ORD-2024-0011,PM01,EQ-001,MAT-002,2024-01-15,6,3200.00,RELEASED,MEDIUM,MCHEN,2024-01-15 06:00:00
ORD-2024-0012,PM03,EQ-004,MAT-005,2024-01-15,20,25000.00,RELEASED,HIGH,JSMITH,2024-01-15 06:00:00
ORD-2024-0013,PM01,EQ-007,MAT-001,2024-01-15,1,450.00,RELEASED,,KBROWN,2024-01-15 06:00:00
ORD-2024-0014,PM02,EQ-002,MAT-003,,3,1200.00,RELEASED,HIGH,JSMITH,2024-01-16 06:00:00
ORD-2024-0015,PM01,EQ-003,MAT-002,2024-01-16,7,3800.00,COMPLETED,MEDIUM,MCHEN,2024-01-16 06:00:00
ORD-2024-0016,PM03,EQ-005,MAT-004,2024-01-16,2,900.00,RELEASED,LOW,KBROWN,2024-01-16 06:00:00
ORD-2024-0017,PM01,EQ-001,MAT-001,2024-01-17,12,6000.00,RELEASED,HIGH,JSMITH,2024-01-17 06:00:00
ORD-2024-0018,PM02,EQ-008,MAT-005,2024-01-17,5,2750.00,RELEASED,MEDIUM,MCHEN,2024-01-17 06:00:00
ORD-2024-0019,PM01,EQ-004,MAT-002,2024-01-18,3,1650.00,RELEASED,HIGH,KBROWN,2024-01-18 06:00:00
ORD-2024-0020,PM03,EQ-006,MAT-003,2024-01-18,9,4500.00,RELEASED,LOW,JSMITH,2024-01-18 06:00:00
